x	Disp
0	0
0.005	0.000000002944165
0.01	0.00000002355085
0.015	0.00000007946997
0.02	0.0000001883351
0.025	0.0000003677618
0.03	0.0000006353462
0.035	0.000001008664
0.04	0.000001505266
0.045	0.000002142683
0.05	0.000002938415
0.055	0.00000390994
0.06	0.000005074703
0.065	0.000006450122
0.07	0.000008053579
0.075	0.000009902428
0.08	0.00001201398
0.085	0.00001440553
0.09	0.0000170943
0.095	0.0000200975
0.1	0.00002343229
0.105	0.0000271158
0.11	0.00003116509
0.115	0.00003559719
0.12	0.0000404291
0.125	0.00004567773
0.13	0.00005135998
0.135	0.00005749268
0.14	0.0000640926
0.145	0.00007117647
0.15	0.00007876096
0.155	0.00008686268
0.16	0.00009549818
0.165	0.000104684
0.17	0.000114436
0.175	0.000124772
0.18	0.000135707
0.185	0.000147258
0.19	0.00015944
0.195	0.00017227
0.2	0.000185764
0.205	0.000199938
0.21	0.000214808
0.215	0.000230389
0.22	0.000246698
0.225	0.000263749
0.23	0.000281559
0.235	0.000300143
0.24	0.000319517
0.245	0.000339695
0.25	0.000360693
0.255	0.000382527
0.26	0.00040521
0.265	0.000428759
0.27	0.000453188
0.275	0.000478512
0.28	0.000504746
0.285	0.000531904
0.29	0.000560001
0.295	0.000589051
0.3	0.000619068
0.305	0.000650067
0.31	0.000682063
0.315	0.000715068
0.32	0.000749097
0.325	0.000784164
0.33	0.000820282
0.335	0.000857466
0.34	0.000895728
0.345	0.000935081
0.35	0.000975541
0.355	0.001017118
0.36	0.001059827
0.365	0.001103681
0.37	0.001148692
0.375	0.001194873
0.38	0.001242236
0.385	0.001290795
0.39	0.001340561
0.395	0.001391547
0.4	0.001443765
0.405	0.001497227
0.41	0.001551944
0.415	0.001607929
0.42	0.001665194
0.425	0.001723749
0.43	0.001783606
0.435	0.001844776
0.44	0.001907271
0.445	0.001971101
0.45	0.002036278
0.455	0.002102812
0.46	0.002170713
0.465	0.002239992
0.47	0.00231066
0.475	0.002382727
0.48	0.002456202
0.485	0.002531096
0.49	0.002607418
0.495	0.002685178
0.5	0.002764386
0.505	0.00284505
0.51	0.002927181
0.515	0.003010787
0.52	0.003095876
0.525	0.003182459
0.53	0.003270543
0.535	0.003360137
0.54	0.003451249
0.545	0.003543887
0.55	0.00363806
0.555	0.003733775
0.56	0.00383104
0.565	0.003929863
0.57	0.00403025
0.575	0.004132209
0.58	0.004235748
0.585	0.004340872
0.59	0.00444759
0.595	0.004555906
0.6	0.004665828
0.605	0.004777362
0.61	0.004890514
0.615	0.00500529
0.62	0.005121695
0.625	0.005239735
0.63	0.005359415
0.635	0.00548074
0.64	0.005603715
0.645	0.005728345
0.65	0.005854635
0.655	0.005982588
0.66	0.006112209
0.665	0.006243501
0.67	0.006376469
0.675	0.006511115
0.68	0.006647442
0.685	0.006785455
0.69	0.006925154
0.695	0.007066544
0.7	0.007209625
0.705	0.007354401
0.71	0.007500871
0.715	0.007649039
0.72	0.007798904
0.725	0.007950468
0.73	0.008103731
0.735	0.008258693
0.74	0.008415354
0.745	0.008573713
0.75	0.00873377
0.755	0.008895523
0.76	0.009058971
0.765	0.009224112
0.77	0.009390943
0.775	0.009559462
0.78	0.009729665
0.785	0.009901549
0.79	0.01007511
0.795	0.01025034
0.8	0.01042724
0.805	0.0106058
0.81	0.01078602
0.815	0.01096789
0.82	0.0111514
0.825	0.01133654
0.83	0.01152332
0.835	0.01171171
0.84	0.01190171
0.845	0.0120933
0.85	0.01228649
0.855	0.01248126
0.86	0.01267759
0.865	0.01287548
0.87	0.01307491
0.875	0.01327587
0.88	0.01347835
0.885	0.01368232
0.89	0.01388778
0.895	0.01409471
0.9	0.01430309
0.905	0.0145129
0.91	0.01472413
0.915	0.01493675
0.92	0.01515075
0.925	0.01536611
0.93	0.0155828
0.935	0.01580081
0.94	0.01602011
0.945	0.01624068
0.95	0.01646249
0.955	0.01668552
0.96	0.01690975
0.965	0.01713514
0.97	0.01736167
0.975	0.01758932
0.98	0.01781805
0.985	0.01804784
0.99	0.01827865
0.995	0.01851046
1	0.01874323
1.005	0.01897694
1.01	0.01921155
1.015	0.01944703
1.02	0.01968334
1.025	0.01992045
1.03	0.02015833
1.035	0.02039694
1.04	0.02063625
1.045	0.02087621
1.05	0.0211168
1.055	0.02135798
1.06	0.0215997
1.065	0.02184193
1.07	0.02208463
1.075	0.02232777
1.08	0.02257129
1.085	0.02281518
1.09	0.02305938
1.095	0.02330385
1.1	0.02354856
1.105	0.02379346
1.11	0.02403852
1.115	0.02428369
1.12	0.02452893
1.125	0.0247742
1.13	0.02501946
1.135	0.02526468
1.14	0.0255098
1.145	0.02575478
1.15	0.02599959
1.155	0.02624419
1.16	0.02648853
1.165	0.02673257
1.17	0.02697627
1.175	0.02721959
1.18	0.02746249
1.185	0.02770493
1.19	0.02794687
1.195	0.02818826
1.2	0.02842908
1.205	0.02866926
1.21	0.02890879
1.215	0.02914761
1.22	0.0293857
1.225	0.029623
1.23	0.02985948
1.235	0.0300951
1.24	0.03032982
1.245	0.03056361
1.25	0.03079642
1.255	0.03102822
1.26	0.03125897
