Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10
0.000000000000000000e+00	4.207323249184475797e-03	1.191671335651042817e-04	-2.916954551387591216e-03	-3.273396081841331486e-03	-5.851077439232945689e-03	-3.020254560589514907e-03	-1.620048995708963215e-03	3.275609879634397946e-03	1.178391266471054410e-03	1.850655466824935791e-03
5.002501250625312514e-03	4.361965919399528498e-03	8.172015373490678410e-04	-1.935348982010500407e-03	-2.284781801660941240e-03	-4.771705860913297466e-03	-2.152574712419828406e-03	-6.469416383111053050e-04	4.047962462496538898e-03	2.159986909645004310e-03	2.769387964389893788e-03
1.000500250125062503e-02	4.515803665536756439e-03	1.499694859690931057e-03	-9.761507299168325526e-04	-1.318068293574537224e-03	-3.714345812622147063e-03	-1.302628353479432476e-03	2.968988891009000292e-04	4.792442762239892788e-03	3.112422984556076962e-03	3.660743865315009907e-03
1.500750375187593841e-02	4.668168993954143267e-03	2.168007174465378783e-03	-3.978661072701621560e-05	-3.713866293769928759e-04	-2.676948349720908657e-03	-4.690560454167153948e-04	1.215447308512516674e-03	5.510587196199622471e-03	4.036695122532998371e-03	4.525956881237552798e-03
2.001000500250125005e-02	4.819363019297924489e-03	2.821904720675209258e-03	8.745923337043105946e-04	5.551428707446018612e-04	-1.659986657187439898e-03	3.480096456550655802e-04	2.107612191137737175e-03	6.202662631059905132e-03	4.932862253850202675e-03	5.364907488193930950e-03
2.501250625312656170e-02	4.969504821719047429e-03	3.461445037805508784e-03	1.767579854151703385e-03	1.461752594537664082e-03	-6.634750503987003629e-04	1.148701032760903601e-03	2.973236775629225104e-03	6.869144005331784264e-03	5.801140147122674923e-03	6.177706651725128548e-03
3.001500750375187682e-02	5.118559277807815770e-03	4.086931452141657692e-03	2.639551930453768250e-03	2.348971405311935535e-03	3.129592950289764247e-04	1.933373163380407893e-03	3.812954208295675756e-03	7.510679483353353142e-03	6.641875836531347874e-03	6.964658663645682986e-03
3.501750875437718846e-02	5.266491710729975621e-03	4.698659801320924541e-03	3.490872983006826445e-03	3.217310328896220723e-03	1.269676095103442013e-03	2.702368071146776102e-03	4.627381433924672091e-03	8.127892831554364705e-03	7.455401598265917230e-03	7.726049524961664874e-03
4.002001000500250011e-02	5.413267876186597487e-03	5.296918541044722331e-03	4.321896234343806931e-03	4.067262976217555018e-03	2.207022346887482171e-03	3.456015128137980043e-03	5.417119632952559043e-03	8.721384272153272568e-03	8.242035775697331007e-03	8.462148024381981742e-03
4.502251125562781175e-02	5.558853949041812903e-03	5.881988852123017433e-03	5.132964063665739624e-03	4.899305959864461851e-03	3.125332710978296832e-03	4.194631391004574952e-03	6.182754649829658340e-03	9.291731317989599184e-03	9.002083582273844725e-03	9.173206788332301936e-03
5.002501250625312340e-02	5.703216510604514067e-03	6.454144747823406698e-03	5.924408354380776391e-03	5.713899304662909198e-03	4.024929887076085337e-03	4.918521940965717154e-03	6.924857412634791327e-03	9.839489588655417687e-03	9.735837882353956182e-03	9.859463302741146989e-03
5.502751375687843505e-02	5.846322536548602573e-03	7.013653181496219864e-03	6.696550834704191948e-03	6.511486852292072344e-03	4.906124982679433040e-03	5.627980217703484021e-03	7.643984343989765860e-03	1.036519360808593575e-02	1.044357995018947716e-02	1.052114090686935392e-02
6.003001500750375363e-02	5.988139385455918014e-03	7.560774154445887643e-03	7.449703411372336596e-03	7.292496659964980976e-03	5.769217874944381798e-03	6.323288347183064241e-03	8.340677763323185376e-03	1.086935758376886794e-02	1.112558020726835128e-02	1.115844975944993260e-02
6.503251625812905834e-02	6.128634787964487053e-03	8.095760824017141435e-03	8.184168496521355626e-03	8.057341393198092991e-03	6.614497565740593693e-03	7.004717463424985600e-03	9.015466280530818818e-03	1.135247616772926474e-02	1.178209893822652725e-02	1.177158777740563295e-02
7.003501750875437692e-02	6.267776836504223605e-03	8.618859611863930598e-03	8.900239327780492746e-03	8.806418712691761394e-03	7.442242529937419422e-03	7.672528024254728074e-03	9.668865181078324655e-03	1.181502519944475915e-02	1.241338698553462981e-02	1.236074154740976656e-02
7.503751875937968163e-02	6.405533975601487330e-03	9.130310312368111400e-03	9.598200281629594086e-03	9.540111655343703340e-03	8.252721056951399514e-03	8.326970121052462703e-03	1.030137680259021228e-02	1.225746243084618187e-02	1.301968642316600651e-02	1.292608721055455399e-02
8.004002001000500022e-02	6.541874992733380349e-03	9.630346201174038931e-03	1.027832718006895310e-02	1.025878900941569472e-02	9.046191585585170933e-03	8.968283782526526721e-03	1.091349090296920080e-02	1.268022823355636347e-02	1.360123120945061839e-02	1.346779132039128274e-02
8.504252126063031880e-02	6.676769009712020184e-03	1.011919414380490177e-02	1.094088759064975637e-02	1.096280568387390450e-02	9.822903032187087213e-03	9.596699272531577368e-03	1.150568502008849324e-02	1.308374628852017156e-02	1.415824781931833247e-02	1.398601167460569207e-02
9.004502251125562351e-02	6.810185474579056458e-03	1.059707470432601738e-02	1.158614111991260708e-02	1.165250307192240882e-02	1.058309511216065125e-02	1.021243738195432710e-02	1.207842482309844610e-02	1.346842425817677998e-02	1.469095585613545626e-02	1.448089812059210821e-02
9.504752376188094209e-02	6.942094153990158514e-03	1.106420225402040755e-02	1.221433970028153876e-02	1.232820940874989821e-02	1.132699865485192747e-02	1.081570971468743571e-02	1.263216445539174296e-02	1.383465444132758043e-02	1.519956864333747194e-02	1.495259333518903812e-02
1.000500250125062468e-01	7.072465126069352008e-03	1.152078508004169936e-02	1.282572787046152435e-02	1.299024012350897400e-02	1.205483591184381559e-02	1.140671896771301187e-02	1.316734686926732817e-02	1.418281441085021341e-02	1.568429379606127091e-02	1.540123357884079155e-02
1.050525262631315654e-01	7.201268773712802412e-03	1.196702549400906548e-02	1.342054304938625903e-02	1.363889818554815322e-02	1.276682085868482280e-02	1.198565920531787822e-02	1.368440415233742116e-02	1.451326763441203316e-02	1.614533377297997646e-02	1.582694942444818134e-02
1.100550275137568701e-01	7.328475778322034520e-03	1.240311994050992232e-02	1.399901580376466947e-02	1.427447444491660063e-02	1.346315949008143782e-02	1.255271612746216951e-02	1.418375784571927062e-02	1.482636407833427643e-02	1.658288640854477247e-02	1.622986646117260262e-02
1.150575287643821887e-01	7.473676489370891310e-03	1.284630217603311558e-02	1.464968485570756693e-02	1.499468309696942551e-02	1.429181275040726680e-02	1.336397911071886442e-02	1.490557189577093947e-02	1.546571876311830969e-02	1.730503430263685347e-02	1.695504472365127677e-02
1.200600300150075073e-01	7.632403059629547237e-03	1.329290104610015601e-02	1.535278562158870139e-02	1.577774593748145285e-02	1.521953854170276718e-02	1.436171493650555304e-02	1.579600089063848412e-02	1.635398582424425762e-02	1.824230417492131787e-02	1.792455550208910814e-02
1.250625312656328258e-01	7.788593750851565724e-03	1.372916816162279667e-02	1.603635736635617912e-02	1.654429382785086583e-02	1.612576652144094916e-02	1.533695038069980525e-02	1.665950669305121465e-02	1.721094568693247104e-02	1.914327105089262335e-02	1.885662369803030661e-02
1.300650325162581167e-01	7.942245941038681561e-03	1.415529978234463318e-02	1.670072084093511544e-02	1.729469935691029664e-02	1.701086606748976673e-02	1.629017361924274890e-02	1.749678399322087546e-02	1.803734719322803645e-02	2.000852027997116964e-02	1.975181084958265929e-02
1.350675337668834353e-01	8.093356823547859583e-03	1.457148644342780817e-02	1.734618912774108651e-02	1.802932233915742477e-02	1.787519650966712392e-02	1.722185975026094620e-02	1.830851281259694707e-02	1.883392044977746579e-02	2.083862778115894848e-02	2.061066861898316199e-02
1.400700350175087538e-01	8.241923411978527639e-03	1.497791307049840120e-02	1.797306791129702971e-02	1.874851016598630404e-02	1.871910745402112150e-02	1.813247114505884064e-02	1.909535888353034935e-02	1.960137749105642438e-02	2.163416060304141145e-02	2.143373950969218109e-02
1.450725362681340724e-01	8.387942545252893844e-03	1.537475909427829177e-02	1.858165574232922834e-02	1.945259815083729901e-02	1.954293910000702572e-02	1.902245779207736159e-02	1.985797401977579257e-02	2.034041292500903680e-02	2.239567746400290132e-02	2.222155755847790570e-02
1.500750375187593633e-01	8.531410892874277674e-03	1.576219856477499570e-02	1.917224429540201336e-02	2.014190986829994187e-02	2.034702255060649723e-02	1.989225763386700749e-02	2.059699647790362229e-02	2.105170456128387796e-02	2.312372927288896748e-02	2.297464900278637853e-02
1.550775387693846818e-01	8.672324960348781753e-03	1.614040026500160319e-02	1.974511862015244576e-02	2.081675748720543742e-02	2.113168011543743730e-02	2.074229689712401431e-02	2.131305130969161910e-02	2.173591402225232005e-02	2.381885963035053691e-02	2.369353292369603958e-02
1.600800400200100004e-01	8.810681094756566203e-03	1.650952782420005149e-02	2.030055738618671834e-02	2.147744209774661572e-02	2.189722560690336023e-02	2.157299041584169116e-02	2.200675070557189458e-02	2.239368733699714092e-02	2.448160531110516250e-02	2.437872186475551275e-02
1.650825412706353190e-01	8.946475490459869506e-03	1.686973983054217488e-02	2.083883312170160124e-02	2.212425403266476270e-02	2.264396462943351479e-02	2.238474194762921782e-02	2.267869432920883305e-02	2.302565551846148459e-02	2.511249672735628782e-02	2.503072242700740691e-02
1.700850425212606376e-01	9.079704194935466280e-03	1.722118994328393493e-02	2.136021244589562940e-02	2.275747318254451104e-02	2.337219486186666723e-02	2.317794448325342926e-02	2.332946964328597161e-02	2.363243512394936144e-02	2.571205837360825835e-02	2.565003584049915797e-02
1.750875437718859284e-01	9.210363114720520467e-03	1.756402700434944036e-02	2.186495629523567408e-02	2.337736930525935453e-02	2.408220633303255476e-02	2.395298054945968133e-02	2.395965222658269153e-02	2.421462879917054070e-02	2.628080925312063429e-02	2.623715851258758003e-02
1.800900450225112470e-01	9.338448021461285067e-03	1.789839514932248937e-02	2.235332014364607017e-02	2.398420232961265622e-02	2.477428169058808541e-02	2.471022250513080221e-02	2.456980608242398043e-02	2.477282580602684775e-02	2.681926328624656408e-02	2.679258255334283911e-02
1.850925462731365656e-01	9.463954558055275718e-03	1.822443391782455763e-02	2.282555421668843593e-02	2.457822265321972163e-02	2.544869646316572087e-02	2.545003283084509155e-02	2.516048393858736146e-02	2.530760253433547366e-02	2.732792970089971407e-02	2.731679627835925661e-02
1.900950475237618842e-01	9.586878244878332955e-03	1.854227836325944220e-02	2.328190369980225397e-02	2.515967143467880140e-02	2.610571931589474731e-02	2.617276441189464453e-02	2.573222753875551230e-02	2.581952299768889084e-02	2.780731340539955437e-02	2.781028468928391228e-02
1.950975487743871750e-01	9.704616836757667606e-03	1.884418288524416368e-02	2.372163342638347605e-02	2.572910521340626006e-02	2.674831751326850471e-02	2.687968177159318767e-02	2.628997629821451520e-02	2.632048179858519771e-02	2.827267942650015659e-02	2.829542521864242960e-02
2.001000500250124936e-01	9.801315603247184524e-03	1.908221537220961689e-02	2.413902682697300142e-02	2.628872650202397632e-02	2.739325308317813734e-02	2.757673881127354829e-02	2.686114931208318998e-02	2.688022783584729375e-02	2.881461078869005168e-02	2.890629562275232739e-02
2.051025512756378122e-01	9.895741661588776383e-03	1.931341602480416211e-02	2.454136471684808390e-02	2.683640664229430470e-02	2.802122632570960142e-02	2.825760596526624702e-02	2.741439990981483707e-02	2.741732428792248780e-02	2.932690878716468635e-02	2.948514722697608004e-02
2.101050525262631308e-01	9.987879336769237351e-03	1.953787038318957961e-02	2.492887004291249181e-02	2.737235399058696519e-02	2.863249209179998672e-02	2.892260425742614743e-02	2.795024692303702679e-02	2.793233733423491211e-02	2.981012564383652558e-02	3.003254691859183478e-02
2.151075537768884494e-01	1.007771300805983261e-02	1.975566047845890572e-02	2.530176172089827064e-02	2.789676902317504356e-02	2.922729939868871918e-02	2.957204638438585415e-02	2.846919928749692963e-02	2.842582239491228333e-02	3.026481004770730648e-02	3.054905913120154609e-02
2.201100550275137402e-01	1.016522711237026824e-02	1.996686492836393864e-02	2.566025480827945071e-02	2.840984459564099840e-02	2.980589165042828170e-02	3.020623696191942695e-02	2.897175629127332966e-02	2.889832454996352565e-02	3.069150744579940762e-02	3.103524622558883131e-02
2.251125562781390588e-01	1.025040614768408208e-02	2.017155903239747222e-02	2.600456067177938160e-02	2.891176619694723476e-02	3.036850685220747470e-02	3.082547276524842325e-02	2.945840781515685416e-02	2.935037894390501653e-02	3.109076031808321802e-02	3.149166885024729662e-02
2.301150575287643774e-01	1.033323467657360113e-02	2.036981486621787518e-02	2.633488714955065785e-02	2.940271219823089449e-02	3.091537781856217026e-02	3.143004296336852910e-02	2.992963456530484470e-02	2.978251117604917980e-02	3.146310843666544343e-02	3.191888628190266142e-02
2.351175587793896959e-01	1.041369732979352362e-02	2.056170137540545145e-02	2.665143870810706556e-02	2.988285409638431409e-02	3.144673237554968664e-02	3.202022934747594113e-02	3.038590829827772163e-02	3.019523767667288416e-02	3.180908910950623614e-02	3.231745674635723431e-02
2.401200600300150145e-01	1.048619424811258506e-02	2.073857307286000942e-02	2.696082555412324111e-02	3.036104414630202281e-02	3.198305801821935829e-02	3.261297830725885805e-02	3.085829031176010387e-02	3.061932446213156203e-02	3.215460642061509361e-02	3.271305165942964277e-02
2.451225612806403054e-01	1.047948868655527652e-02	2.078939398816350564e-02	2.734498117149864599e-02	3.094823363832411092e-02	3.278301168059175735e-02	3.342117720970317479e-02	3.173746368597478440e-02	3.144116468363369887e-02	3.282373172200626910e-02	3.342651332272595505e-02
