Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10
0.000000000000000000e+00	2.272874174483013505e-05	5.728559850631958925e-05	8.443453433724243330e-05	9.714939529999982017e-05	9.176913884962980042e-05	5.912550259553552999e-05	8.958656708154181557e-06	-4.631118798565049468e-05	-7.803366917999353890e-05	-9.866273409451889497e-05
5.002501250625312514e-03	2.362007412197586481e-05	5.793678141377623715e-05	8.460420506337646795e-05	9.673695438248968044e-05	9.173053603030788630e-05	5.914906671798438731e-05	9.026739544856839673e-06	-4.650443033430235259e-05	-7.814913381856067049e-05	-9.854999229722565164e-05
1.000500250125062503e-02	2.462056309945674672e-05	5.860838239617991189e-05	8.472539691768792545e-05	9.626729108727334963e-05	9.157247528054187540e-05	5.911872563760516442e-05	9.078571623132352997e-06	-4.659643046884639930e-05	-7.821060555219643820e-05	-9.836800360344259459e-05
1.500750375187593841e-02	2.573405681051044963e-05	5.931748413585459669e-05	8.482211260862004224e-05	9.576460187930458810e-05	9.132142202049855953e-05	5.905575252090899274e-05	9.137782252434751082e-06	-4.656855420886997726e-05	-7.819424732025587231e-05	-9.809445887480887794e-05
2.001000500250125005e-02	2.696436938918737083e-05	6.008080975461925434e-05	8.491778718271316513e-05	9.525257609260594043e-05	9.100333470136998180e-05	5.898100639778813890e-05	9.227352923057521544e-06	-4.640283013985360081e-05	-7.807692960499874814e-05	-9.770770716018166760e-05
2.501250625312656170e-02	2.831528442347353854e-05	6.091472365193104853e-05	8.503530383755075598e-05	9.475440122750909710e-05	9.064366353943537156e-05	5.891493507671646834e-05	9.369611282441434708e-06	-4.608193769378115780e-05	-7.783622507836293494e-05	-9.718675306966114227e-05
3.001500750375187682e-02	2.979055914154336631e-05	6.183523096877234005e-05	8.519701038660831231e-05	9.429276631220790100e-05	9.026734703378828397e-05	5.887757661503447993e-05	9.586220922346245989e-06	-4.558919681019421338e-05	-7.745040434618955915e-05	-9.651125565449275871e-05
3.501750875437718846e-02	3.139392356164755801e-05	6.285798513133837335e-05	8.542472870740198379e-05	9.388987507975646849e-05	8.989882122237375316e-05	5.888856816081223714e-05	9.898197073841240323e-06	-4.490855175096567376e-05	-7.689842728920554514e-05	-9.566152082949619417e-05
4.002001000500250011e-02	3.312907962427854587e-05	6.399829525457787307e-05	8.573976386181775223e-05	9.356745875734409114e-05	8.956202868464962022e-05	5.896715451285692916e-05	1.032592204719717120e-05	-4.402455548887125445e-05	-7.615993474619821030e-05	-9.461849421363952993e-05
4.502251125562781175e-02	3.499970033519511121e-05	6.527113336104786441e-05	8.616291293628187563e-05	9.334678841981460689e-05	8.928042722602687992e-05	5.913219636407903178e-05	1.088916027734881375e-05	-4.292235468518402119e-05	-7.521524054565781878e-05	-9.336375440144511551e-05
5.002501250625312340e-02	3.700942891890995581e-05	6.669114141768486999e-05	8.671447361051996664e-05	9.324868691774565194e-05	8.907699825351741746e-05	5.940217823652154153e-05	1.160707298553167660e-05	-4.158767523576934394e-05	-7.404532386632499364e-05	-9.187950663884534382e-05
5.502751375687843505e-02	3.916187798236829266e-05	6.827263819320780682e-05	8.741425246366266025e-05	9.329354039043346724e-05	8.897425485209752027e-05	5.979521611666987444e-05	1.249823246765550373e-05	-4.000680836500509081e-05	-7.263182190655684137e-05	-9.014857687804045904e-05
6.003001500750375363e-02	4.146062868848257311e-05	7.002962593886876037e-05	8.828157302618473408e-05	9.350130937385370885e-05	8.899424957088087024e-05	6.032906479953007882e-05	1.358063601957757096e-05	-3.816659724768620984e-05	-7.095702284398938708e-05	-8.815440618640439999e-05
6.503251625812905834e-02	4.390922993926328404e-05	7.197579689520703674e-05	8.933528358606653312e-05	9.389153951363693083e-05	8.915858192834915221e-05	6.102112494948465517e-05	1.487171950952223117e-05	-3.605442413937857748e-05	-6.900385906664062170e-05	-8.588104548528753340e-05
