Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10
0.000000000000000000e+00	1.675246741662813439e-04	1.292881355690013640e-04	4.039007988814599594e-05	-7.508824196423792205e-05	6.013748867057638091e-06	1.153771365748509871e-05	1.684440710190547341e-05	-4.747210692924983314e-05	-2.685336102670229293e-05	1.713639157727178428e-05
5.002501250625312514e-03	1.889589439537363595e-04	1.316367727387775049e-04	2.826268416924924718e-05	-8.898138761477935167e-05	-2.054723536404252056e-05	-1.393354749556432395e-06	1.118643042299626722e-05	-2.914224524570421722e-05	-1.849100153419495091e-05	2.870376717777556390e-05
1.000500250125062503e-02	2.111648118700950368e-04	1.374383246587692503e-04	2.098954501078815989e-05	-9.798400808165034159e-05	-4.176388364742144942e-05	-1.002837153434549443e-05	1.032295289480858496e-05	-7.018707866329625177e-06	-5.291309177964193059e-06	4.479847586108381410e-05
1.500750375187593841e-02	2.341369504274261283e-04	1.466178478175194863e-04	1.845799857572781618e-05	-1.022017300307355219e-04	-5.774213337111821007e-05	-1.445320543122133719e-05	1.411559247661222125e-05	1.876245504601778104e-05	1.260199268554540477e-05	6.528615386991059894e-05
2.001000500250125005e-02	2.578680770724313008e-04	1.591049174600136140e-04	2.055505439314414889e-05	-1.017336929285040959e-04	-6.858129015939650938e-05	-1.474907101797509433e-05	2.243859526948622431e-05	4.807103643155852241e-05	3.504880437317621446e-05	9.003665238815179109e-05
2.501250625312656170e-02	2.823529348821395132e-04	1.748270713428483618e-04	2.717262751656037833e-05	-9.668073944046526834e-05	-7.438440380423118022e-05	-1.099867147143658936e-05	3.515800268767608182e-05	8.077743348196895058e-05	6.190878742482107074e-05	1.189184602434727975e-04
3.001500750375187682e-02	3.075861720684278577e-04	1.937132492486785340e-04	3.820465263569111083e-05	-8.714118792805997961e-05	-7.525283781127352703e-05	-3.283025705562246621e-06	5.214263736047562540e-05	1.167552434499517425e-04	9.304330023896472237e-05	1.518015237710577676e-04
3.501750875437718846e-02	3.335622622612698595e-04	2.156938895748947409e-04	5.354691621458695857e-05	-7.321075590677533708e-05	-7.128612358285100581e-05	8.318590792124359596e-06	7.326444852422559504e-05	1.558812446459549637e-04	1.283153999908713105e-04	1.885572653208482765e-04
4.002001000500250011e-02	3.602755067073217334e-04	2.407008921384051119e-04	7.309699957289161366e-05	-5.498264821869988428e-05	-6.258202501568326892e-05	2.372858174248114623e-05	9.839843207133956498e-05	1.980352765308514100e-04	1.675897708790556281e-04	2.290584944672298038e-04
4.502251125562781175e-02	3.877200363999602837e-04	2.686675815151021249e-04	9.675422375815753988e-05	-3.254764310615269397e-05	-4.923660116781707952e-05	4.287096760362912558e-05	1.274225527642477052e-04	2.431001240320655157e-04	2.107326564438864052e-04	2.731793245427699044e-04
5.002501250625312340e-02	4.158898141440663066e-04	2.995286709156130735e-04	1.244195961743048179e-04	-5.994176216442657985e-06	-3.134426702959851649e-05	6.567132481593859295e-05	1.602176685702419077e-04	2.909614059887304896e-04	2.576117958472103823e-04	3.207950943536653642e-04
5.502751375687843505e-02	4.447786365587868586e-04	3.332202265987268814e-04	1.559957589311639255e-04	2.459157743234256430e-05	-8.997852432975410208e-06	9.205672673265337229e-05	1.966674570737969759e-04	3.415074676336239982e-04	3.080963640036009149e-04	3.717822949369919017e-04
6.003001500750375363e-02	4.743801360214303336e-04	3.696796328238780255e-04	1.913869388807042614e-04	5.912562349479294575e-05	1.771134086638495017e-05	1.219556862055216928e-04	2.366583439226985306e-04	3.946292770184875410e-04	3.620569154539995298e-04	4.260185012198195679e-04
6.503251625812905834e-02	5.046877825555827002e-04	4.088455573437959722e-04	2.304988993055237273e-04	9.752607032125701076e-05	4.869348390029879447e-05	1.552980997953596959e-04	2.800794332650979792e-04	4.502203252922624011e-04	4.193653318744340153e-04	4.833823084431381378e-04
7.003501750875437692e-02	5.356948856663915418e-04	4.506579174383328014e-04	2.732388932255164216e-04	1.397130529309865748e-04	8.386016695831472725e-05	1.920151935769815626e-04	3.268224401342848082e-04	5.081765307403076542e-04	4.798947731126749767e-04	5.437532732134171777e-04
7.503751875937968163e-02	5.673945961259545170e-04	4.950578464902608347e-04	3.195156182890090003e-04	1.856086589059523174e-04	1.231243477835279241e-04	2.320394705088765894e-04	3.767816247387019294e-04	5.683961464955849608e-04	5.435196316476053257e-04	6.070118590469083348e-04
8.004002001000500022e-02	5.997799077115827018e-04	5.419876611038008940e-04	3.692391732146603814e-04	2.351368561761131809e-04	1.664003014601021942e-04	2.753046593373080367e-04	4.298537286147011312e-04	6.307796718319800622e-04	6.101154903663251776e-04	6.730393862729072739e-04
8.504252126063031880e-02	6.328436588996334345e-04	5.913908287662596273e-04	4.223210157508993615e-04	2.882234226668053045e-04	2.136035719592021490e-04	3.217456650051725279e-04	4.859379125995627927e-04	6.952297669516072651e-04	6.795590835556539764e-04	7.417179861631965953e-04
9.004502251125562351e-02	6.665785345175565457e-04	6.432119360531857871e-04	4.786739221197105478e-04	3.447958777792628580e-04	2.646509253098048610e-04	3.712985205359140093e-04	5.449356965829909140e-04	7.616511711780951524e-04	7.517282610051698524e-04	8.129305591565495238e-04
9.504752376188094209e-02	7.009770673565929398e-04	6.973966573771216799e-04	5.382119479120086800e-04	4.047834156752439850e-04	3.194603043613661146e-04	4.239003403627163678e-04	6.067509009952136347e-04	8.299506244692885426e-04	8.265019551204322822e-04	8.865607370485368904e-04
1.000500250125062468e-01	7.360316397475895941e-04	7.538917242800203134e-04	6.008503904018538521e-04	4.681168403367683530e-04	3.779507851051275009e-04	4.794892750734453478e-04	6.712895899897820080e-04	9.000367921626645663e-04	9.037601509457132655e-04	9.624928490175949569e-04
1.050525262631315654e-01	7.717344851021842736e-04	8.126448952690084031e-04	6.665057522473348062e-04	5.347285023724038158e-04	4.400425345213106491e-04	5.380044675423786404e-04	7.384600162800466746e-04	9.718201928686866003e-04	9.833838589967511170e-04	1.040611891360741607e-03
1.100550275137568701e-01	8.080776894215742270e-04	8.736049261952134534e-04	7.350957065456737013e-04	6.045522375410596928e-04	5.056567699192731366e-04	5.993860104185979882e-04	8.081725675877731276e-04	1.045213129426694970e-03	1.065255090804811131e-03	1.120803500812169590e-03
1.150575287643821887e-01	8.450803917743163370e-04	9.367451685564162243e-04	8.066614969112080027e-04	6.776583845591679662e-04	5.749205680531683377e-04	6.639296840393513720e-04	8.806720918057706548e-04	1.120605520621346159e-03	1.149683673769523549e-03	1.203432131499861503e-03
1.200600300150075073e-01	8.828655393154098609e-04	1.002130215686626493e-03	8.817134040108962501e-04	7.546349059767712636e-04	6.487448941784051829e-04	7.332880769751515303e-04	9.574757903167580584e-04	1.200207786432925302e-03	1.238611733487752662e-03	1.290690480674039136e-03
1.250625312656328258e-01	9.214383749076369545e-04	1.069723448891118575e-03	9.602335912471288452e-04	8.354872341713814963e-04	7.271562421979313766e-04	8.075811592524196605e-04	1.038666226628626394e-03	1.284174986011003220e-03	1.332137437962975296e-03	1.382704919200183208e-03
1.300650325162581167e-01	9.607862063326352625e-04	1.139473676860136737e-03	1.042125170199892890e-03	9.201336904216316035e-04	8.100479974464773469e-04	8.866975992603701520e-04	1.124110461227188816e-03	1.372352386048790018e-03	1.430080649566996135e-03	1.479289549329835694e-03
1.350675337668834353e-01	1.000896327791656049e-03	1.211330675706880902e-03	1.127292837711038349e-03	1.008494427782731084e-03	8.973153678026771869e-04	9.705284746303242081e-04	1.213678992936443072e-03	1.464588952180671940e-03	1.532264135057407944e-03	1.580261257403509870e-03
1.400700350175087538e-01	1.041756018994019050e-03	1.285245160618209235e-03	1.215642838202163562e-03	1.100491368063947692e-03	9.888553342377096305e-04	1.058967207694722816e-03	1.307245686491586732e-03	1.560737256924589868e-03	1.638513519810865220e-03	1.685439666250503933e-03
1.450725362681340724e-01	1.083352544270501381e-03	1.361168758079827051e-03	1.307082927329911420e-03	1.196048140547801382e-03	1.084566602968500132e-03	1.151909502684479334e-03	1.404687701988230298e-03	1.660653390898176240e-03	1.748657244808235998e-03	1.794647091113875468e-03
1.500750375187593633e-01	1.125673151712598208e-03	1.439053978673824306e-03	1.401522336946238153e-03	1.295090022420800503e-03	1.184349559179750152e-03	1.249253284629422110e-03	1.505885426162528870e-03	1.764196877221189345e-03	1.862526526273213792e-03	1.907708498974947662e-03
1.550775387693846818e-01	1.168705072338501643e-03	1.518854190446294189e-03	1.498871741331466844e-03	1.397543880885481534e-03	1.288106222279968320e-03	1.350898639927099925e-03	1.610722405456242561e-03	1.871230589017429434e-03	1.979955317867039804e-03	2.024451471155824887e-03
1.600800400200100004e-01	1.212435519286580521e-03	1.600523592842597459e-03	1.599043224668244157e-03	1.503338116923763320e-03	1.395740202656212039e-03	1.456747758545364315e-03	1.719085280822789689e-03	1.981620669930494669e-03	2.100780275343423851e-03	2.144706169077205057e-03
1.650825412706353190e-01	1.256851687037070699e-03	1.684017191207738988e-03	1.701950249724904418e-03	1.612402610681894352e-03	1.507156659893176725e-03	1.566704877824361955e-03	1.830863724228713740e-03	2.095236457569169073e-03	2.224840723568743180e-03	2.268305303052855788e-03
1.700850425212606376e-01	1.301940750662650224e-03	1.769290771849149017e-03	1.807507627716921491e-03	1.724668668447333023e-03	1.622262262421890608e-03	1.680676227843976847e-03	1.945950376807101256e-03	2.211950409797849588e-03	2.351978625813844117e-03	2.395084104001248167e-03
1.750875437718859284e-01	1.347689865108471410e-03	1.856300877659136086e-03	1.915631489315667516e-03	1.840068971188336825e-03	1.740965148564089984e-03	1.798569978322954628e-03	2.064240788618839240e-03	2.331638033789777426e-03	2.482038555225018085e-03	2.524880297958242027e-03
