Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10	DOF 11	DOF 12	DOF 13	DOF 14	DOF 15	DOF 16	DOF 17	DOF 18
0.000000000000000000e+00	-5.360605120658874512e-01	-5.823543667793273926e-01	3.841751515865325928e-01	-5.096183419227600098e-01	1.916704922914505005e-01	6.773622035980224609e-01	-4.390442669391632080e-01	1.444545239210128784e-01	4.624272882938385010e-01	-3.301587700843811035e-01	2.349246889352798462e-01	3.683143854141235352e-01	-1.838559657335281372e-01	3.082447946071624756e-01	3.581636548042297363e-01	3.308921754360198975e-01	3.584359586238861084e-01	4.067074060440063477e-01
5.002501420676708221e-03	-2.046996057033538818e-01	-2.563070654869079590e-01	6.292824745178222656e-01	-1.929568350315093994e-01	4.514138400554656982e-01	8.118184804916381836e-01	-1.235584542155265808e-01	4.025322496891021729e-01	6.048988103866577148e-01	-2.177191711962223053e-02	4.708277285099029541e-01	5.055527091026306152e-01	1.092787310481071472e-01	5.317835211753845215e-01	4.832858145236968994e-01	5.562655329704284668e-01	4.798704087734222412e-01	5.173176527023315430e-01
1.000500284135341644e-02	8.027507364749908447e-02	2.386515215039253235e-02	8.395290374755859375e-01	7.867762446403503418e-02	6.753821969032287598e-01	9.275821447372436523e-01	1.469121277332305908e-01	6.253464818000793457e-01	7.289051413536071777e-01	2.424693554639816284e-01	6.731076836585998535e-01	6.249135732650756836e-01	3.599174618721008301e-01	7.230085134506225586e-01	5.914857983589172363e-01	7.493888139724731445e-01	5.843281149864196777e-01	6.115805506706237793e-01
1.500750426203012466e-02	3.354077935218811035e-01	2.746846675872802734e-01	1.026319503784179688e+00	3.215792179107666016e-01	8.750071525573730469e-01	1.029587507247924805e+00	3.884884417057037354e-01	8.241257071495056152e-01	8.392842411994934082e-01	4.784810841083526611e-01	8.528690934181213379e-01	7.312815189361572266e-01	5.837461352348327637e-01	8.928101658821105957e-01	6.876218914985656738e-01	9.210058450698852539e-01	6.767237186431884766e-01	6.944391131401062012e-01
2.001000568270683289e-02	5.668642520904541016e-01	5.024820566177368164e-01	1.193408370018005371e+00	5.419619679450988770e-01	1.054145693778991699e+00	1.119012117385864258e+00	6.071890592575073242e-01	1.002667903900146484e+00	9.372888207435607910e-01	6.919799447059631348e-01	1.013934493064880371e+00	8.260352015495300293e-01	7.862233519554138184e-01	1.044822335243225098e+00	7.731423974037170410e-01	1.074571371078491211e+00	7.585521936416625977e-01	7.674167156219482422e-01
2.501250803470611572e-02	7.753131985664367676e-01	7.081160545349121094e-01	1.340621471405029297e+00	7.406741976737976074e-01	1.212715506553649902e+00	1.195165157318115234e+00	8.037491440773010254e-01	1.160881161689758301e+00	1.022357463836669922e+00	8.834221363067626953e-01	1.156337618827819824e+00	9.087881445884704590e-01	9.675810337066650391e-01	1.178985953330993652e+00	8.477873802185058594e-01	1.209872245788574219e+00	8.296002745628356934e-01	8.303858637809753418e-01
3.001500852406024933e-02	9.670622348785400391e-01	8.979746103286743164e-01	1.471994042396545410e+00	9.239752888679504395e-01	1.354787468910217285e+00	1.259503245353698730e+00	9.842885136604309082e-01	1.302761077880859375e+00	1.095959544181823730e+00	1.058715224266052246e+00	1.284099936485290527e+00	9.810807704925537109e-01	1.133516311645507812e+00	1.299168825149536133e+00	9.131349921226501465e-01	1.330632090568542480e+00	8.914988636970520020e-01	8.850066065788269043e-01
3.501750901341438293e-02	1.136712908744812012e+00	1.066857337951660156e+00	1.583510756492614746e+00	1.086738824844360352e+00	1.476216673851013184e+00	1.309656977653503418e+00	1.143579006195068359e+00	1.424159169197082520e+00	1.155813336372375488e+00	1.212582230567932129e+00	1.393309712409973145e+00	1.040708899497985840e+00	1.278690695762634277e+00	1.401524305343627930e+00	9.671652317047119141e-01	1.432932019233703613e+00	9.423180818557739258e-01	9.293960332870483398e-01
4.002001136541366577e-02	1.290839314460754395e+00	1.221359848976135254e+00	1.679406642913818359e+00	1.235440015792846680e+00	1.581297159194946289e+00	1.347317695617675781e+00	1.288005828857421875e+00	1.529319882392883301e+00	1.203597784042358398e+00	1.351224064826965332e+00	1.488189458847045898e+00	1.089400529861450195e+00	1.409133553504943848e+00	1.490137815475463867e+00	1.011601209640502930e+00	1.520746469497680664e+00	9.838123917579650879e-01	9.653277993202209473e-01
4.502251371741294861e-02	1.441723227500915527e+00	1.373746156692504883e+00	1.767785549163818359e+00	1.382277250289916992e+00	1.678229093551635742e+00	1.376022696495056152e+00	1.429615736007690430e+00	1.626463532447814941e+00	1.242843985557556152e+00	1.486361622810363770e+00	1.576819658279418945e+00	1.130727410316467285e+00	1.536301016807556152e+00	1.572835206985473633e+00	1.049933433532714844e+00	1.601755857467651367e+00	1.019468903541564941e+00	9.962311983108520508e-01
5.002501606941223145e-02	1.592026710510253906e+00	1.526689410209655762e+00	1.850187540054321289e+00	1.529933810234069824e+00	1.768543481826782227e+00	1.396243453025817871e+00	1.570980429649353027e+00	1.717159271240234375e+00	1.274057984352111816e+00	1.620431542396545410e+00	1.660770893096923828e+00	1.165236353874206543e+00	1.662506461143493652e+00	1.651104211807250977e+00	1.082730293273925781e+00	1.677386999130249023e+00	1.049876689910888672e+00	1.022659897804260254e+00
5.502751469612121582e-02	1.744231104850769043e+00	1.682352304458618164e+00	1.930405139923095703e+00	1.680880665779113770e+00	1.855761170387268066e+00	1.411178350448608398e+00	1.714971303939819336e+00	1.804762959480285645e+00	1.299993038177490234e+00	1.756842732429504395e+00	1.743176937103271484e+00	1.195342779159545898e+00	1.791247487068176270e+00	1.728296399116516113e+00	1.112039566040039062e+00	1.751301407814025879e+00	1.077156662940979004e+00	1.046900749206542969e+00
6.003001704812049866e-02	1.897580742835998535e+00	1.840154290199279785e+00	2.006159067153930664e+00	1.834009647369384766e+00	1.938064932823181152e+00	1.418786048889160156e+00	1.860287070274353027e+00	1.887477517127990723e+00	1.318853616714477539e+00	1.893929362297058105e+00	1.822313070297241211e+00	1.219473600387573242e+00	1.920821428298950195e+00	1.802454710006713867e+00	1.136544227600097656e+00	1.821326613426208496e+00	1.099953651428222656e+00	1.067526221275329590e+00
6.503251940011978149e-02	2.054612159729003906e+00	2.002535104751586914e+00	2.079008340835571289e+00	1.991650938987731934e+00	2.017088651657104492e+00	1.419782280921936035e+00	2.009253263473510742e+00	1.966925978660583496e+00	1.331346392631530762e+00	2.034013509750366211e+00	1.899715423583984375e+00	1.238284587860107422e+00	2.053532600402832031e+00	1.875068068504333496e+00	1.156885147094726562e+00	1.888984560966491699e+00	1.118911027908325195e+00	1.085133194923400879e+00
7.003501802682876587e-02	2.217269897460937500e+00	2.171343326568603516e+00	2.150215148925781250e+00	2.155571222305297852e+00	2.094177484512329102e+00	1.414834380149841309e+00	2.163637161254882812e+00	2.044456958770751953e+00	1.338148355484008789e+00	2.178909063339233398e+00	1.976581692695617676e+00	1.252386927604675293e+00	2.191191434860229492e+00	1.947308182716369629e+00	1.173638701438903809e+00	1.955538868904113770e+00	1.134603619575500488e+00	1.100223898887634277e+00
7.503752410411834717e-02	2.386277675628662109e+00	2.347164392471313477e+00	2.220380306243896484e+00	2.326311111450195312e+00	2.170023441314697266e+00	1.404536843299865723e+00	2.324036836624145508e+00	2.120787143707275391e+00	1.339794397354125977e+00	2.329286813735961914e+00	2.053483724594116211e+00	1.262218475341796875e+00	2.334519386291503906e+00	2.019708395004272461e+00	1.187168598175048828e+00	2.021606445312500000e+00	1.147374749183654785e+00	1.113073348999023438e+00
8.004002273082733154e-02	2.562054395675659180e+00	2.530270814895629883e+00	2.289907217025756836e+00	2.504104614257812500e+00	2.245136260986328125e+00	1.389417648315429688e+00	2.490744590759277344e+00	2.196463108062744141e+00	1.336778998374938965e+00	2.485528707504272461e+00	2.130782604217529297e+00	1.268168330192565918e+00	2.483950853347778320e+00	2.092600584030151367e+00	1.197787761688232422e+00	2.087628126144409180e+00	1.157512784004211426e+00	1.123876571655273438e+00
8.504252135753631592e-02	2.744745016098022461e+00	2.720670700073242188e+00	2.359057903289794922e+00	2.688924551010131836e+00	2.319895505905151367e+00	1.369985103607177734e+00	2.663780927658081055e+00	2.271903038024902344e+00	1.329587221145629883e+00	2.647773504257202148e+00	2.208688259124755859e+00	1.270608305931091309e+00	2.639677286148071289e+00	2.166168451309204102e+00	1.205780029296875000e+00	2.153924942016601562e+00	1.165267348289489746e+00	1.132777810096740723e+00
9.004502743482589722e-02	2.934235572814941406e+00	2.918098211288452148e+00	2.427975654602050781e+00	2.880491256713867188e+00	2.394552946090698242e+00	1.346744656562805176e+00	2.842922687530517578e+00	2.347414493560791016e+00	1.318708896636962891e+00	2.815908908843994141e+00	2.287279129028320312e+00	1.269900918006896973e+00	2.801658391952514648e+00	2.240466356277465820e+00	1.211406946182250977e+00	2.220694303512573242e+00	1.170866131782531738e+00	1.139883279800415039e+00
9.504752606153488159e-02	3.129647016525268555e+00	3.121561527252197266e+00	2.496271133422851562e+00	3.077752113342285156e+00	2.468902349472045898e+00	1.319923758506774902e+00	3.027152776718139648e+00	2.422854423522949219e+00	1.304448246955871582e+00	2.989086627960205078e+00	2.366147041320800781e+00	1.266246318817138672e+00	2.969139099121093750e+00	2.315086126327514648e+00	1.214727282524108887e+00	2.287683725357055664e+00	1.174337387084960938e+00	1.145094394683837891e+00
1.000500321388244629e-01	3.330053091049194336e+00	3.330025196075439453e+00	2.563577175140380859e+00	3.279633998870849609e+00	2.542740106582641602e+00	1.289780616760253906e+00	3.215407133102416992e+00	2.498086929321289062e+00	1.287160158157348633e+00	3.166415214538574219e+00	2.444882392883300781e+00	1.259878277778625488e+00	3.141343355178833008e+00	2.389625310897827148e+00	1.215821146965026855e+00	2.354653596878051758e+00	1.175729870796203613e+00	1.148320436477661133e+00
1.050525307655334473e-01	3.535919666290283203e+00	3.543766975402832031e+00	2.630689382553100586e+00	3.486505985260009766e+00	2.616840124130249023e+00	1.257342696189880371e+00	3.408159732818603516e+00	2.573923349380493164e+00	1.267727613449096680e+00	3.348425388336181641e+00	2.524102210998535156e+00	1.251491308212280273e+00	3.318790912628173828e+00	2.464653730392456055e+00	1.215310692787170410e+00	2.422333478927612305e+00	1.175613641738891602e+00	1.150009274482727051e+00
1.100550293922424316e-01	3.746621847152709961e+00	3.762058734893798828e+00	2.697638750076293945e+00	3.697676420211791992e+00	2.691267013549804688e+00	1.223214149475097656e+00	3.604786157608032227e+00	2.650493860244750977e+00	1.246750116348266602e+00	3.534605264663696289e+00	2.603715419769287109e+00	1.241522550582885742e+00	3.501033306121826172e+00	2.540082931518554688e+00	1.213494181632995605e+00	2.490782737731933594e+00	1.174232482910156250e+00	1.150269031524658203e+00
1.150575354695320129e-01	3.926822185516357422e+00	3.946867942810058594e+00	2.754399061203002930e+00	3.876587867736816406e+00	2.753648042678833008e+00	1.196584582328796387e+00	3.772955656051635742e+00	2.714790821075439453e+00	1.230081081390380859e+00	3.695316076278686523e+00	2.670205116271972656e+00	1.232765793800354004e+00	3.658146142959594727e+00	2.604383230209350586e+00	1.210970401763916016e+00	2.550696372985839844e+00	1.172759532928466797e+00	1.150231719017028809e+00
