Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10	DOF 11	DOF 12	DOF 13	DOF 14	DOF 15	DOF 16	DOF 17	DOF 18
0.000000000000000000e+00	2.191461389884352684e-04	9.220009087584912777e-05	-1.630724145798012614e-04	-1.780562706699129194e-05	-1.705101603874936700e-04	1.479740167269483209e-04	-1.118560830946080387e-04	-1.469802373321726918e-04	1.443380751879885793e-04	-1.578674855409190059e-04	-1.524726249044761062e-04	1.322503085248172283e-04	-1.472670264774933457e-04	-1.604560093255713582e-04	1.137392537202686071e-04	-1.396866427967324853e-04	1.192587587866000831e-04	1.228702167281880975e-04
5.002501420676708221e-03	2.124482562066987157e-04	8.487610466545447707e-05	-1.573661720613017678e-04	-2.373461575189139694e-05	-1.675011008046567440e-04	1.592764747329056263e-04	-1.153085904661566019e-04	-1.429895346518605947e-04	1.489223650423809886e-04	-1.604494027560576797e-04	-1.491853472543880343e-04	1.374466519337147474e-04	-1.481354411225765944e-04	-1.565946440678089857e-04	1.191707415273413062e-04	-1.328095531789585948e-04	1.246683241333812475e-04	1.321546733379364014e-04
1.000500284135341644e-02	2.005007117986679077e-04	7.102064409991726279e-05	-1.360020396532490849e-04	-3.460847074165940285e-05	-1.532922469777986407e-04	1.908467384055256844e-04	-1.219734913320280612e-04	-1.290166110266000032e-04	1.686041068751364946e-04	-1.636944507481530309e-04	-1.342019968433305621e-04	1.552530593471601605e-04	-1.463821245124563575e-04	-1.395035360474139452e-04	1.366547512589022517e-04	-1.120961242122575641e-04	1.420400512870401144e-04	1.543434336781501770e-04
1.500750426203012466e-02	1.905021053971722722e-04	5.770732605014927685e-05	-9.368179598823189735e-05	-4.356633871793746948e-05	-1.222294522449374199e-04	2.455923822708427906e-04	-1.250166824320331216e-04	-9.944508201442658901e-05	2.064908185275271535e-04	-1.609296450624242425e-04	-1.024240336846560240e-04	1.886666868813335896e-04	-1.356762368232011795e-04	-1.043679367285221815e-04	1.689164491835981607e-04	-7.267619366757571697e-05	1.740118605084717274e-04	1.918109483085572720e-04
2.001000568270683289e-02	1.888436672743409872e-04	5.121100912219844759e-05	-2.572015910118352622e-05	-4.453055225894786417e-05	-6.931715324753895402e-05	3.260912490077316761e-04	-1.183900385512970388e-04	-4.929360147798433900e-05	2.653609844855964184e-04	-1.462384243495762348e-04	-4.934494063491001725e-05	2.403594844508916140e-04	-1.104125549318268895e-04	-4.692787115345709026e-05	2.183641918236389756e-04	-1.024334414978511631e-05	2.228953817393630743e-04	2.466343576088547707e-04
2.501250803470611572e-02	2.013560588238760829e-04	5.727249663323163986e-05	7.208664464997127652e-05	-3.195097087882459164e-05	9.952837899618316442e-06	4.345691704656928778e-04	-9.659006900619715452e-05	2.592713462945539504e-05	3.476672573015093803e-04	-1.142495093517936766e-04	2.909300746978260577e-05	3.127059317193925381e-04	-6.548543024109676480e-05	3.664164250949397683e-05	2.871447359211742878e-04	7.905829261289909482e-05	2.907431335188448429e-04	3.206524706911295652e-04
3.001500852406024933e-02	2.331919531570747495e-04	8.098316175164654851e-05	2.033815399045124650e-04	-9.057399097400775645e-07	1.195109653053805232e-04	5.729171680286526680e-04	-5.474314457387663424e-05	1.301381271332502365e-04	4.555210471153259277e-04	-6.022548404871486127e-05	1.364079507766291499e-04	4.077636695001274347e-04	3.585635113267926499e-06	1.496597542427480221e-04	3.771128249354660511e-04	1.985845447052270174e-04	3.793308278545737267e-04	4.154254565946757793e-04
3.501750901341438293e-02	2.892513875849545002e-04	1.271855435334146023e-04	3.715202619787305593e-04	5.328873521648347378e-05	2.629742957651615143e-04	7.427707896567881107e-04	1.175440138467820361e-05	2.669533132575452328e-04	5.907922750338912010e-04	2.031382973655126989e-05	2.758656337391585112e-04	5.273631541058421135e-04	1.010375854093581438e-04	2.951945352833718061e-04	4.899232299067080021e-04	3.514093987178057432e-04	4.902189830318093300e-04	5.323361838236451149e-04
4.002001136541366577e-02	3.736923681572079659e-04	2.000307285925373435e-04	5.792326410301029682e-04	1.346143544651567936e-04	4.433281428646296263e-04	9.453704115003347397e-04	1.068060810212045908e-04	4.393549170345067978e-04	7.549551082774996758e-04	1.311369560426101089e-04	4.501426301430910826e-04	6.729785818606615067e-04	2.304383378941565752e-04	4.757558926939964294e-04	6.269117584452033043e-04	5.400482914410531521e-04	6.246581906452775002e-04	6.724838749505579472e-04
4.502251371741294861e-02	4.904419765807688236e-04	3.034430847037583590e-04	8.289574761874973774e-04	2.468670136295258999e-04	6.632392178289592266e-04	1.181662082672119141e-03	2.340995561098679900e-04	6.500128656625747681e-04	9.492157259956002235e-04	2.757766633294522762e-04	6.616471218876540661e-04	8.458372903987765312e-04	3.950963728129863739e-04	6.936005083844065666e-04	7.892023422755300999e-04	7.667336612939834595e-04	7.837095181457698345e-04	8.367805276066064835e-04
5.002501606941223145e-02	6.432607187889516354e-04	4.412247217260301113e-04	1.122908550314605236e-03	3.936988941859453917e-04	9.251305600628256798e-04	1.452374504879117012e-03	3.971560508944094181e-04	9.013597154989838600e-04	1.174570759758353233e-03	4.575974016916006804e-04	9.126013028435409069e-04	1.046980265527963638e-03	5.981914582662284374e-04	9.507904178462922573e-04	9.777559898793697357e-04	1.033486332744359970e-03	9.682608651928603649e-04	1.025993726216256618e-03
5.502751469612121582e-02	8.359276689589023590e-04	6.172269349917769432e-04	1.463164226152002811e-03	5.788356065750122070e-04	1.231280039064586163e-03	1.758031779900193214e-03	5.995369865559041500e-04	1.195676508359611034e-03	1.431803102605044842e-03	6.799848633818328381e-04	1.205123378895223141e-03	1.277281320653855801e-03	8.429026347585022449e-04	1.249308115802705288e-03	1.193404430523514748e-03	1.342224422842264175e-03	1.179086742922663689e-03	1.240801415406167507e-03
6.003001704812049866e-02	1.072262297384440899e-03	8.353438461199402809e-04	1.851720036938786507e-03	8.060518885031342506e-04	1.583866425789892673e-03	2.098974538967013359e-03	8.448513108305633068e-04	1.535152900032699108e-03	1.721546519547700882e-03	9.463510941714048386e-04	1.541263540275394917e-03	1.537478994578123093e-03	1.132457051426172256e-03	1.591069740243256092e-03	1.436866470612585545e-03	1.694778446108102798e-03	1.416852814145386219e-03	1.481798011809587479e-03
6.503251940011978149e-02	1.356091117486357689e-03	1.099521876312792301e-03	2.290476579219102859e-03	1.079170498996973038e-03	1.984945731237530708e-03	2.475413959473371506e-03	1.136729726567864418e-03	1.921857590787112713e-03	2.044281689450144768e-03	1.260119955986738205e-03	1.923002419061958790e-03	1.828184118494391441e-03	1.470084884203970432e-03	1.977938460186123848e-03	1.708764932118356228e-03	2.092910464853048325e-03	1.682143425568938255e-03	1.749508199281990528e-03
7.003501802682876587e-02	1.691341167315840721e-03	1.413820777088403702e-03	2.781257499009370804e-03	1.402139547280967236e-03	2.436500275507569313e-03	2.887375652790069580e-03	1.478895079344511032e-03	2.357782330363988876e-03	2.400329569354653358e-03	1.624795026145875454e-03	2.352283569052815437e-03	2.149872947484254837e-03	1.859108335338532925e-03	2.411728724837303162e-03	2.009610412642359734e-03	2.538312692195177078e-03	1.975425984710454941e-03	2.044367603957653046e-03
