Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10	DOF 11	DOF 12	DOF 13	DOF 14	DOF 15	DOF 16	DOF 17	DOF 18
0.000000000000000000e+00	-2.842231770046055317e-04	-2.876470680348575115e-04	-3.174071025568991899e-05	-1.826011430239304900e-04	-1.020699201035313308e-04	4.489583661779761314e-04	1.360401511192321777e-04	2.141726581612601876e-04	-3.619127674028277397e-04	4.383383202366530895e-05	-1.340096932835876942e-04	4.478933490759118285e-08	3.370148624526336789e-05	-1.912006991915404797e-04	8.273585990536957979e-05	3.529499226715415716e-04	7.989422010723501444e-05	7.430252153426408768e-04
5.002501420676708221e-03	-2.119212411344051361e-03	-2.367663895711302757e-03	2.516394248232245445e-03	-1.922597177326679230e-03	1.520080375485122204e-03	4.180741030722856522e-03	-1.253802794963121414e-03	1.595764420926570892e-03	2.314707962796092033e-03	-8.196846465580165386e-04	1.644126954488456249e-03	2.192607149481773376e-03	-1.368762168567627668e-04	1.922159222885966301e-03	2.193876309320330620e-03	2.584086032584309578e-03	2.183196367695927620e-03	3.060440300032496452e-03
1.000500284135341644e-02	-2.416832605376839638e-03	-2.935512922704219818e-03	6.200775038450956345e-03	-2.195115434005856514e-03	4.349353257566690445e-03	8.537414483726024628e-03	-1.182199572212994099e-03	4.177610855549573898e-03	5.656828638166189194e-03	-2.547617477830499411e-04	4.515551496297121048e-03	5.025880876928567886e-03	1.049006124958395958e-03	5.070351995527744293e-03	4.887447226792573929e-03	5.859539844095706940e-03	4.850371740758419037e-03	5.889160558581352234e-03
1.500750426203012466e-02	-1.365736359730362892e-03	-2.177777001634240150e-03	1.087677199393510818e-02	-1.183194923214614391e-03	8.236719295382499695e-03	1.343831419944763184e-02	1.679500564932823181e-04	7.812384981662034988e-03	9.584709070622920990e-03	1.559206400997936726e-03	8.341058157384395599e-03	8.423222228884696960e-03	3.419436980038881302e-03	9.120124392211437225e-03	8.091541938483715057e-03	1.004587952047586441e-02	8.009273558855056763e-03	9.160290472209453583e-03
2.001000568270683289e-02	8.993300725705921650e-04	-2.259373140987008810e-04	1.643610373139381409e-02	9.844696614891290665e-04	1.306949835270643234e-02	1.881737820804119110e-02	2.666239626705646515e-03	1.238901913166046143e-02	1.403314620256423950e-02	4.494719207286834717e-03	1.301717478781938553e-02	1.232291013002395630e-02	6.853564642369747162e-03	1.397307869046926498e-02	1.174933277070522308e-02	1.504387240856885910e-02	1.160327438265085220e-02	1.282046455889940262e-02
2.501250803470611572e-02	4.267587792128324509e-03	2.812909660860896111e-03	2.278391644358634949e-02	4.203290212899446487e-03	1.874939352273941040e-02	2.461198903620243073e-02	6.206229329109191895e-03	1.781038008630275726e-02	1.894078403711318970e-02	8.445994928479194641e-03	1.845460012555122375e-02	1.666775904595851898e-02	1.125070266425609589e-02	1.954402588307857513e-02	1.580881513655185699e-02	2.076679468154907227e-02	1.558073237538337708e-02	1.682171039283275604e-02
3.001500852406024933e-02	8.630725555121898651e-03	6.834713276475667953e-03	2.982432395219802856e-02	8.371504954993724823e-03	2.517687156796455383e-02	3.075608611106872559e-02	1.068335119634866714e-02	2.397802099585533142e-02	2.424348145723342896e-02	1.330864336341619492e-02	2.456353791058063507e-02	2.139863371849060059e-02	1.651068218052387238e-02	2.574709989130496979e-02	2.021668292582035065e-02	2.712598443031311035e-02	1.988889835774898529e-02	2.111526578664779663e-02
3.501750901341438293e-02	1.390935853123664856e-02	1.176528260111808777e-02	3.748027235269546509e-02	1.341645698994398117e-02	3.227177262306213379e-02	3.719073534011840820e-02	1.602160371840000153e-02	3.081256523728370667e-02	2.988398820161819458e-02	1.900566741824150085e-02	3.127311915159225464e-02	2.646338194608688354e-02	2.255991101264953613e-02	3.251456096768379211e-02	2.492684312164783478e-02	3.405095264315605164e-02	2.448265254497528076e-02	2.566006407141685486e-02
4.002001136541366577e-02	1.998320966958999634e-02	1.749011687934398651e-02	4.564509168267250061e-02	1.922623068094253540e-02	3.992308303713798523e-02	4.384022951126098633e-02	2.210536971688270569e-02	3.820352256298065186e-02	3.578905016183853149e-02	2.542039752006530762e-02	3.848341479897499084e-02	3.179447352886199951e-02	2.928462252020835876e-02	3.975004702806472778e-02	2.987887151539325714e-02	4.144196212291717529e-02	2.930291555821895599e-02	3.040144965052604675e-02
4.502251371741294861e-02	2.681903913617134094e-02	2.398158423602581024e-02	5.427048355340957642e-02	2.577395364642143250e-02	4.807938262820243835e-02	5.065593868494033813e-02	2.890361286699771881e-02	4.610022902488708496e-02	4.191194102168083191e-02	3.251908719539642334e-02	4.615228623151779175e-02	3.735068812966346741e-02	3.665308281779289246e-02	4.741379246115684509e-02	3.503784164786338806e-02	4.925499111413955688e-02	3.431611135601997375e-02	3.530997037887573242e-02
5.002501606941223145e-02	3.440647199749946594e-02	3.123514726758003235e-02	6.332173198461532593e-02	3.305699676275253296e-02	5.670261383056640625e-02	5.759315565228462219e-02	3.640801832079887390e-02	5.446540564298629761e-02	4.821030050516128540e-02	4.028948023915290833e-02	5.425160005688667297e-02	4.309596121311187744e-02	4.465363547205924988e-02	5.547880008816719055e-02	4.037419334053993225e-02	5.745844915509223938e-02	3.949390724301338196e-02	4.036122933030128479e-02
5.502751469612121582e-02	4.275078326463699341e-02	3.926077857613563538e-02	7.277949899435043335e-02	4.108697175979614258e-02	6.576970964670181274e-02	6.461802124977111816e-02	4.462634399533271790e-02	6.327648460865020752e-02	5.465139448642730713e-02	4.873638972640037537e-02	6.276690214872360229e-02	4.900269955396652222e-02	5.329172685742378235e-02	6.393250823020935059e-02	4.586569964885711670e-02	6.603585183620452881e-02	4.481588304042816162e-02	4.553908109664916992e-02
6.003001704812049866e-02	5.185957998037338257e-02	4.807080328464508057e-02	8.262794464826583862e-02	4.987800121307373047e-02	7.526132464408874512e-02	7.169965654611587524e-02	5.356866493821144104e-02	7.251392304897308350e-02	6.120480597019195557e-02	5.786796286702156067e-02	7.168660312891006470e-02	5.504531785845756531e-02	6.257643550634384155e-02	7.276531308889389038e-02	5.149208009243011475e-02	7.497367262840270996e-02	5.026331916451454163e-02	5.082940682768821716e-02
