x	Dis
0	-0.001851585
0.005	-0.001732312
0.01	-0.001597052
0.015	-0.00144635
0.02	-0.001282225
0.025	-0.00110798
0.03	-0.000928124
0.035	-0.000747868
0.04	-0.000572511
0.045	-0.000406969
0.05	-0.000255195
0.055	-0.000119463
0.06	-3.0272E-07
0.065	0.000103698
0.07	0.000195736
0.075	0.000280365
0.08	0.000362961
0.085	0.000448997
0.09	0.000543295
0.095	0.000649522
0.1	0.000769571
0.105	0.000903255
0.11	0.001048342
0.115	0.001200701
0.12	0.001354644
0.125	0.001503528
0.13	0.001640355
0.135	0.001758446
0.14	0.001852023
0.145	0.001916693
0.15	0.001949779
0.155	0.001950484
0.16	0.001919846
0.165	0.001860687
0.17	0.001777183
0.175	0.001674557
0.18	0.00155862
0.185	0.001435507
0.19	0.001311066
0.195	0.001190633
0.2	0.001078871
0.205	0.000979472
0.21	0.000895129
0.215	0.000827567
0.22	0.000777623
0.225	0.000745347
0.23	0.000730175
0.235	0.000731181
0.24	0.000747154
0.245	0.000776874
0.25	0.000819172
0.255	0.000873123
0.26	0.000938041
0.265	0.001013447
0.27	0.001099206
0.275	0.00119526
0.28	0.001301656
0.285	0.001418435
0.29	0.0015455
0.295	0.001682532
0.3	0.001828902
0.305	0.001983724
0.31	0.002145714
0.315	0.002313268
0.32	0.002484595
0.325	0.002657529
0.33	0.002829965
0.335	0.002999606
0.34	0.003164135
0.345	0.003321331
0.35	0.003469067
0.355	0.003605288
0.36	0.003728118
0.365	0.00383578
0.37	0.003926728
0.375	0.003999561
0.38	0.004053042
0.385	0.004086231
0.39	0.004098309
0.395	0.004088651
0.4	0.004056783
0.405	0.004002247
0.41	0.003924586
0.415	0.00382316
0.42	0.003697108
0.425	0.003545257
0.43	0.003365974
0.435	0.003157308
0.44	0.002917056
0.445	0.00264271
0.45	0.002331871
0.455	0.001982356
0.46	0.001592405
0.465	0.001160994
0.47	0.000687993
0.475	0.000174272
0.48	-0.00037821
0.485	-0.000966574
0.49	-0.00158691
0.495	-0.00223453
0.5	-0.002904214
0.505	-0.003590243
0.51	-0.004286583
0.515	-0.004987068
0.52	-0.005685234
0.525	-0.006374493
0.53	-0.007047865
0.535	-0.007698071
0.54	-0.008317373
0.545	-0.008897503
0.55	-0.009429814
0.555	-0.009905308
0.56	-0.010314985
0.565	-0.01065019
0.57	-0.010902814
0.575	-0.01106595
0.58	-0.011134274
0.585	-0.011104222
0.59	-0.010974524
0.595	-0.010746127
0.6	-0.010422289
0.605	-0.010008251
0.61	-0.009511066
0.615	-0.008938958
0.62	-0.008300887
0.625	-0.007605914
0.63	-0.006862698
0.635	-0.006079018
0.64	-0.005261525
0.645	-0.004415567
0.65	-0.00354541
0.655	-0.002654265
0.66	-0.00174485
0.665	-0.000819999
0.67	0.000117046
0.675	0.001061787
0.68	0.002008383
0.685	0.002949138
0.69	0.00387468
0.695	0.0047739
0.7	0.005634807
0.705	0.00644453
0.71	0.007190483
0.715	0.007860947
0.72	0.008445754
0.725	0.008936872
0.73	0.009328835
0.735	0.00961894
0.74	0.009807056
0.745	0.009895594
0.75	0.00988875
0.755	0.009792336
0.76	0.009612937
0.765	0.009357479
0.77	0.00903281
0.775	0.008645399
0.78	0.008201177
0.785	0.007705564
0.79	0.007163607
0.795	0.006580298
0.8	0.005960536
0.805	0.005309697
0.81	0.004633613
0.815	0.003938643
0.82	0.003231824
0.825	0.002520444
0.83	0.001812143
0.835	0.001114551
0.84	0.000435038
0.845	-0.00021954
0.85	-0.000842982
0.855	-0.001429854
0.86	-0.001975606
0.865	-0.002476306
0.87	-0.00292892
0.875	-0.003330885
0.88	-0.003680103
0.885	-0.003974828
0.89	-0.004213554
0.895	-0.004394899
0.9	-0.00451778
0.905	-0.004581338
0.91	-0.004585099
0.915	-0.004529167
0.92	-0.004414186
0.925	-0.004241752
0.93	-0.004014311
0.935	-0.003735371
0.94	-0.003409385
0.945	-0.003041791
0.95	-0.002638852
0.955	-0.00220739
0.96	-0.001754605
0.965	-0.001287797
0.97	-0.000813948
0.975	-0.000339415
0.98	0.000130242
0.985	0.000590513
0.99	0.001038135
0.995	0.001470858
1	0.001887732
1.005	0.002288521
1.01	0.002673622
1.015	0.003043715
1.02	0.003399314
1.025	0.00374058
1.03	0.004066833
1.035	0.00437658
1.04	0.004667385
1.045	0.004935821
1.05	0.005177889
1.055	0.005389085
1.06	0.005564845
1.065	0.005700886
1.07	0.005793493
1.075	0.005839846
1.08	0.005838134
1.085	0.005787564
1.09	0.005688297
1.095	0.00554133
1.1	0.005348012
1.105	0.005109968
1.11	0.004828616
1.115	0.004504933
1.12	0.004139385
1.125	0.003731751
1.13	0.003281238
1.135	0.002786852
1.14	0.002247525
1.145	0.001662668
1.15	0.001032595
1.155	0.000358894
1.16	-0.000355088
1.165	-0.001104009
1.17	-0.001880569
1.175	-0.002675378
1.18	-0.003477391
1.185	-0.00427435
1.19	-0.005053151
1.195	-0.005800748
1.2	-0.006504765
1.205	-0.007153966
1.21	-0.007739053
1.215	-0.008253029
1.22	-0.008691051
1.225	-0.009050861
1.23	-0.009332307
1.235	-0.009536844
1.24	-0.009667275
1.245	-0.009726815
1.25	-0.009718915
1.255	-0.009646486
1.26	-0.009511762
1.265	-0.009316167
1.27	-0.009060488
1.275	-0.008745082
1.28	-0.008370488
1.285	-0.007937753
1.29	-0.007449162
1.295	-0.006908486
1.3	-0.006321123
1.305	-0.005694349
1.31	-0.005036648
1.315	-0.004357624
1.32	-0.00366704
1.325	-0.002974218
1.33	-0.002287453
1.335	-0.001613282
1.34	-0.000956283
1.345	-0.00031907
1.35	0.000297643
1.355	0.000894412
1.36	0.001472453
1.365	0.002033006
1.37	0.002576556
1.375	0.003102333
1.38	0.003608095
1.385	0.004089934
1.39	0.004542621
1.395	0.004960102
1.4	0.005335996
1.405	0.005664483
1.41	0.005940812
1.415	0.006161965
1.42	0.006326973
1.425	0.006436985
1.43	0.006495264
1.435	0.006506796
1.44	0.006477838
1.445	0.006415128
1.45	0.00632552
1.455	0.006215246
1.46	0.006089268
1.465	0.005951275
1.47	0.005803228
1.475	0.005645361
1.48	0.005476457
1.485	0.005294032
1.49	0.005094906
1.495	0.004875612
1.5	0.004632725
1.505	0.004363633
1.51	0.004066685
1.515	0.003741498
1.52	0.00338927
1.525	0.003012591
1.53	0.002615391
1.535	0.002202678
1.54	0.001780312
1.545	0.001354323
1.55	0.000930913
1.555	0.000515652
1.56	0.000113589
1.565	-0.000271218
1.57	-0.000635778
1.575	-0.000978087
1.58	-0.00129694
1.585	-0.001592044
1.59	-0.00186346
1.595	-0.002111556
1.6	-0.002336724
1.605	-0.002539214
1.61	-0.002718877
1.615	-0.002875275
1.62	-0.00300747
1.625	-0.003114271
1.63	-0.003194093
1.635	-0.00324519
1.64	-0.003265706
1.645	-0.003253833
1.65	-0.003207877
1.655	-0.003126213
1.66	-0.003007521
1.665	-0.002850651
1.67	-0.002654824
1.675	-0.002419531
1.68	-0.002144773
1.685	-0.001830963
1.69	-0.001479286
1.695	-0.001091574
1.7	-0.000670698
1.705	-0.000220498
1.71	0.000253994
1.715	0.000746546
1.72	0.001249838
1.725	0.001755388
1.73	0.00225401
1.735	0.002735855
1.74	0.003190937
1.745	0.003609448
1.75	0.003982234
1.755	0.004301207
1.76	0.004559693
1.765	0.004752793
1.77	0.004877487
1.775	0.004932814
1.78	0.004919812
1.785	0.00484132
1.79	0.004701865
1.795	0.004507185
1.8	0.004264004
1.805	0.003979616
1.81	0.003661437
1.815	0.003316871
1.82	0.002952976
1.825	0.002576198
1.83	0.00219241
1.835	0.001806777
1.84	0.001423791
1.845	0.001047347
1.85	0.000680758
1.855	0.000326771
1.86	-1.22624E-05
1.865	-0.000334508
1.87	-0.000638441
1.875	-0.000923062
1.88	-0.001187608
1.885	-0.001431705
1.89	-0.001655274
1.895	-0.00185827
1.9	-0.002040721
1.905	-0.002202447
1.91	-0.002343001
1.915	-0.00246143
1.92	-0.002556351
1.925	-0.002625694
1.93	-0.002667019
1.935	-0.002677486
1.94	-0.0026542
1.945	-0.002594444
1.95	-0.002495965
1.955	-0.002357425
1.96	-0.002178485
1.965	-0.001960122
1.97	-0.001704619
1.975	-0.001415543
1.98	-0.001097505
1.985	-0.000755945
1.99	-0.000396715
1.995	-2.57108E-05
2	0.000351507
2.005	0.000730032
2.01	0.001105706
2.015	0.001475286
2.02	0.00183634
2.025	0.002186993
2.03	0.002525766
2.035	0.002851045
2.04	0.003160994
2.045	0.003453057
2.05	0.00372397
2.055	0.003969627
2.06	0.004185287
2.065	0.004365737
2.07	0.00450581
2.075	0.004600787
2.08	0.004646884
2.085	0.004641748
2.09	0.004584834
2.095	0.004477438
2.1	0.004323154
2.105	0.004127252
2.11	0.003896816
2.115	0.00364
2.12	0.003365655
2.125	0.003082461
2.13	0.002798748
2.135	0.00252146
2.14	0.002256183
2.145	0.002006651
2.15	0.001774797
2.155	0.001560729
2.16	0.001363251
2.165	0.001180068
2.17	0.001008341
2.175	0.000845329
2.18	0.000688737
2.185	0.000537212
2.19	0.000390702
2.195	0.000250402
2.2	0.000118918
2.205	-2.04327E-08
2.21	-0.000101825
2.215	-0.00018168
2.22	-0.000234754
2.225	-0.00025695
2.23	-0.000245224
2.235	-0.000198029
2.24	-0.000115595
2.245	1.67966E-07
2.25	0.000145352
2.255	0.000314631
2.26	0.000501485
2.265	0.000698619
2.27	0.000898476
2.275	0.001093921
2.28	0.001278655
2.285	0.001447683
2.29	0.00159782
2.295	0.001727753
2.3	0.001838293
2.305	0.001932276
2.31	0.002014284
2.315	0.002090427
2.32	0.002167809
2.325	0.002253971
2.33	0.002356482
2.335	0.002482197
2.34	0.002636806
2.345	0.00282439
2.35	0.003046995
2.355	0.003304612
2.36	0.003594915
2.365	0.00391324
2.37	0.004253245
2.375	0.004606704
2.38	0.004964293
2.385	0.005316059
2.39	0.005651744
2.395	0.005961548
2.4	0.006236525
2.405	0.006469002
2.41	0.006653124
2.415	0.006784859
2.42	0.006862229
2.425	0.006885533
2.43	0.006856857
2.435	0.006780274
2.44	0.00666125
2.445	0.006506391
2.45	0.006322889
2.455	0.006118187
2.46	0.005899326
2.465	0.005672489
2.47	0.005442616
2.475	0.005212964
2.48	0.004984957
2.485	0.004757969
2.49	0.004529546
2.495	0.004295293
2.5	0.004049574
