t	Acceleration
0	0.00402674
0.005	0.00544541
0.01	0.0072373
0.015	0.00855151
0.02	0.00876402
0.025	0.00886494
0.03	0.00896241
0.035	0.00905112
0.04	0.00913137
0.045	0.00922356
0.05	0.0093328
0.055	0.00944632
0.06	0.00955413
0.065	0.00963429
0.07	0.00962915
0.075	0.00954648
0.08	0.00942152
0.085	0.00933175
0.09	0.00944769
0.095	0.00966209
0.1	0.00986846
0.105	0.00992664
0.11	0.00954337
0.115	0.0090865
0.12	0.00874382
0.125	0.00867976
0.13	0.00874749
0.135	0.0086652
0.14	0.00860338
0.145	0.00869356
0.15	0.00914596
0.155	0.00944473
0.16	0.00932933
0.165	0.00871577
0.17	0.00770352
0.175	0.00703383
0.18	0.0067987
0.185	0.00697496
0.19	0.00743683
0.195	0.00773677
0.2	0.00761807
0.205	0.00704043
0.21	0.00599455
0.215	0.00521822
0.22	0.00526045
0.225	0.00602648
0.23	0.00734228
0.235	0.00791929
0.24	0.00756697
0.245	0.00665123
0.25	0.00551357
0.255	0.0048264
0.26	0.00459055
0.265	0.00450258
0.27	0.00430819
0.275	0.00337011
0.28	0.00188509
0.285	0.000292942
0.29	-0.0011637
0.295	-0.00210664
0.3	-0.00158098
0.305	-1.90464E-05
0.31	0.00211415
0.315	0.00399367
0.32	0.00478451
0.325	0.00496625
0.33	0.00460972
0.335	0.00376677
0.34	0.0027884
0.345	0.00224832
0.35	0.00169465
0.355	0.000655041
0.36	-0.00204141
0.365	-0.00424587
0.37	-0.00535784
0.375	-0.00518304
0.38	-0.00493293
0.385	-0.00558818
0.39	-0.00646068
0.395	-0.00712211
0.4	-0.00682887
0.405	-0.0053094
0.41	-0.00297414
0.415	-0.00018244
0.42	0.00237664
0.425	0.0026981
0.43	0.000512927
0.435	-0.003863
0.44	-0.00984961
0.445	-0.0147064
0.45	-0.0164561
0.455	-0.0141002
0.46	-0.00684267
0.465	0.00198614
0.47	0.00347861
0.475	-0.00240937
0.48	-0.0146487
0.485	-0.0226615
0.49	-0.0183966
0.495	-0.007777
0.5	0.00437012
0.505	0.00632733
0.51	-0.000338129
0.515	-0.00709612
0.52	-0.0113561
0.525	-0.0123791
0.53	-0.0169795
0.535	-0.0214502
0.54	-0.0231564
0.545	-0.0180628
0.55	-0.0098133
0.555	-0.00478347
0.56	-0.00337481
0.565	-0.0054281
0.57	-0.00727619
0.575	-0.00795293
0.58	-0.00761938
0.585	-0.006372
0.59	-0.00309081
0.595	0.000612576
0.6	0.00289788
0.605	0.00252224
0.61	-0.0022174
0.615	-0.00855043
0.62	-0.0153713
0.625	-0.0219607
0.63	-0.0269803
0.635	-0.0261958
0.64	-0.0206909
0.645	-0.0120683
0.65	-0.00360115
0.655	-0.00132565
0.66	-0.0043739
0.665	-0.011874
0.67	-0.0225973
0.675	-0.0301486
0.68	-0.0304904
0.685	-0.0238155
0.69	-0.0108202
0.695	0.00200239
0.7	0.00793205
0.705	0.00733688
0.71	0.000949316
0.715	-0.00702881
0.72	-0.0139503
0.725	-0.0194687
0.73	-0.0220829
0.735	-0.0152245
0.74	-0.00130136
0.745	0.00707651
0.75	0.00525598
0.755	-0.0110448
0.76	-0.0250927
0.765	-0.0315352
0.77	-0.0307903
0.775	-0.0249919
0.78	-0.0156866
0.785	-0.00629971
0.79	0.0012923
0.795	0.00518426
